recipe,ingredients,description,instructions,image,time,difficulty
Tomato Rice,"tomato,rice,onion","Tangy South Indian tomato rice.","Saute onions and tomatoes with spices. Mix with cooked rice and cook for 5 minutes.","tomato_rice.jpg","20 mins","Easy"
Vegetable Curry,"potato,onion,tomato,carrot","Healthy mixed vegetable curry.","Cook onions and tomatoes. Add vegetables and spices. Simmer until vegetables are soft.","vegetable_curry.jpg","35 mins","Medium"
Egg Fried Rice,"egg,rice,onion","Classic egg fried rice.","Scramble eggs, saute onions, add cooked rice and stir fry well.","egg_fried_rice.jpg","20 mins","Easy"
Chicken Curry,"chicken,onion,tomato","Traditional spicy chicken curry.","Cook onions, tomatoes and spices. Add chicken and simmer until tender.","chicken_curry.jpg","45 mins","Medium"
Pasta,"pasta,tomato,cheese","Creamy tomato cheese pasta.","Boil pasta. Prepare tomato sauce, mix cheese and combine with pasta.","pasta.jpg","25 mins","Easy"
Vegetable Salad,"cucumber,tomato,onion","Fresh and healthy salad.","Chop vegetables and toss with salt and lemon juice.","vegetable_salad.jpg","10 mins","Easy"
Omelette,"egg,onion","Simple fluffy omelette.","Beat eggs with onions, pour into pan and cook both sides.","omelette.jpg","10 mins","Easy"
Lemon Rice,"rice,lemon","Refreshing lemon flavored rice.","Prepare tempering, mix with rice and fresh lemon juice.","lemon_rice.jpg","15 mins","Easy"
Fried Rice,"rice,onion,carrot,beans,soy sauce","Restaurant style fried rice.","Stir fry vegetables, add rice and soy sauce.","fried_rice.jpg","20 mins","Easy"
Veg Pulao,"rice,onion,carrot,peas,beans","One-pot aromatic vegetable pulao.","Cook vegetables with spices and rice together.","veg_pulao.jpg","30 mins","Easy"
Garlic Bread,"bread,butter,garlic","Crispy buttery garlic bread.","Spread garlic butter on bread and toast until golden.","garlic_bread.jpg","10 mins","Easy"
Veg Noodles,"noodles,carrot,cabbage,capsicum","Quick vegetable noodles.","Cook noodles separately. Stir fry vegetables and mix everything.","veg_noodles.jpg","20 mins","Easy"
Curd Rice,"rice,curd,milk","Cooling South Indian curd rice.","Mix cooked rice with curd and milk. Add tempered mustard seeds.","curd_rice.jpg","15 mins","Easy"
Veg Soup,"carrot,beans,cabbage,onion","Healthy vegetable soup.","Boil vegetables and season with pepper and salt.","veg_soup.jpg","25 mins","Easy"
Grilled Chicken,"chicken,garlic,pepper,oil","Juicy grilled chicken.","Marinate chicken and grill until fully cooked.","grilled_chicken.jpg","35 mins","Medium"
Sandwich,"bread,tomato,onion,cheese","Quick cheese sandwich.","Layer vegetables and cheese between bread slices and toast.","sandwich.jpg","10 mins","Easy"
Smoothie,"banana,milk,honey","Healthy banana smoothie.","Blend banana, milk and honey until smooth.","smoothie.jpg","5 mins","Easy"
Toast,"bread,butter","Simple butter toast.","Toast bread and spread butter evenly.","toast.jpg","5 mins","Easy"
